,id,amenities,bathrooms,bedrooms,has_photo,pets_allowed,price,square_feet,cityname,state,source,time
0,5668626895,0,0.0,0.0,0.5,0.0,790,101,Washington,DC,RentLingo,2019-12-26 11:23:35
1,5664597177,0,0.0,1.0,0.5,0.0,425,106,Evansville,IN,RentLingo,2019-12-22 12:17:43
2,5668626833,0,1.0,0.0,0.5,0.0,1390,107,Arlington,VA,RentLingo,2019-12-26 11:23:30
3,5659918074,0,1.0,0.0,0.5,0.0,925,116,Seattle,WA,RentLingo,2019-12-18 11:15:43
4,5668626759,0,0.0,0.0,0.5,0.0,880,125,Arlington,VA,RentLingo,2019-12-26 11:23:21
5,5667891676,5,1.0,0.0,0.5,0.0,2475,130,Manhattan,NY,Listanza,2019-12-25 16:03:04
6,5668627426,0,0.0,0.0,0.5,0.0,1800,132,Venice,CA,RentLingo,2019-12-26 11:24:21
7,5668626687,0,0.0,0.0,0.5,0.0,840,136,Washington,DC,RentLingo,2019-12-26 11:23:13
8,5668610290,1,1.0,0.0,0.5,0.0,1495,138,San Francisco,CA,RentLingo,2019-12-26 11:05:13
9,5668627023,0,0.0,0.0,0.5,0.0,890,141,Washington,DC,RentLingo,2019-12-26 11:23:44
10,5668627099,0,0.0,0.0,0.5,0.0,990,146,Washington,DC,RentLingo,2019-12-26 11:23:50
11,5668626548,0,0.0,0.0,0.5,0.0,840,150,Washington,DC,RentLingo,2019-12-26 11:23:01
12,5664598162,0,0.0,1.0,0.5,1.0,1795,156,Tucson,AZ,RentLingo,2019-12-22 12:19:08
13,5668626900,0,0.0,0.0,0.5,0.0,1090,178,Washington,DC,RentLingo,2019-12-26 11:23:35
14,5664571820,1,1.0,0.0,0.5,0.0,1695,190,San Francisco,CA,RentLingo,2019-12-22 11:45:21
15,5659276240,8,1.0,1.0,0.5,1.0,1560,200,New Bern,NC,ListedBuy,2019-12-17 21:27:56
16,5654898031,8,1.0,1.0,0.5,1.0,1560,200,New Bern,NC,RentDigs.com,2019-12-15 10:37:53
17,5664574876,0,1.0,1.0,0.5,0.0,1000,200,Spring,TX,RentLingo,2019-12-22 11:48:47
18,5668633573,0,1.0,1.0,0.5,0.0,950,200,Vallejo,CA,RentLingo,2019-12-26 11:31:58
19,5668624220,1,1.0,1.0,0.5,0.0,625,200,Marietta,GA,RentLingo,2019-12-26 11:20:24
20,5653564493,0,1.0,1.0,0.5,0.0,600,200,Charlotte,NC,RentLingo,2019-12-14 11:16:55
21,5668622178,7,1.0,1.0,0.5,0.0,544,200,Tallahassee,FL,RentLingo,2019-12-26 11:18:28
22,5664577209,1,1.0,1.0,0.5,0.0,450,200,Phoenix,AZ,RentLingo,2019-12-22 11:52:19
23,5664574105,0,1.0,1.0,0.5,0.0,750,215,Riverview,FL,RentLingo,2019-12-22 11:47:40
24,5664570217,0,1.0,1.0,0.5,0.0,915,219,Littleton,CO,RentLingo,2019-12-22 11:43:27
25,5664574791,0,1.0,1.0,0.5,0.0,900,219,Waldorf,MD,RentLingo,2019-12-22 11:48:39
